Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
simple case,Chrome 113.0.0.0,,,2023-05-15 14:00:18,2023-05-15 14:04:18,4m - 0.373s,FAILED
,,,,,,,
Test Cases/test-flow-1-buy-1-product,Chrome 113.0.0.0,,,2023-05-15 14:00:18,2023-05-15 14:00:32,13.145s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-15 14:00:19,2023-05-15 14:00:22,3.350s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 113.0.0.0,,,2023-05-15 14:00:22,2023-05-15 14:00:22,0.452s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 113.0.0.0,,,2023-05-15 14:00:22,2023-05-15 14:00:23,0.369s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""))",Chrome 113.0.0.0,,,2023-05-15 14:00:23,2023-05-15 14:00:23,0.362s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""secret_sauce"")",Chrome 113.0.0.0,,,2023-05-15 14:00:23,2023-05-15 14:00:24,0.371s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-15 14:00:24,2023-05-15 14:00:24,0.490s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/Backpack""))",Chrome 113.0.0.0,,,2023-05-15 14:00:24,2023-05-15 14:00:25,0.497s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-15 14:00:25,2023-05-15 14:00:25,0.493s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/products_back-image""))",Chrome 113.0.0.0,,,2023-05-15 14:00:25,2023-05-15 14:00:26,0.514s,PASSED
"click(findTestObject(""Object Repository/inventoryPage/cart""))",Chrome 113.0.0.0,,,2023-05-15 14:00:26,2023-05-15 14:00:26,0.490s,PASSED
"click(findTestObject(""Object Repository/CheckoutPage/button_Checkout""))",Chrome 113.0.0.0,,,2023-05-15 14:00:26,2023-05-15 14:00:27,0.504s,PASSED
"sendKeys(findTestObject(""Object Repository/checkout-step-one/input_Checkout Your Information_firstName""), ""demo"")",Chrome 113.0.0.0,,,2023-05-15 14:00:27,2023-05-15 14:00:27,0.473s,PASSED
"sendKeys(findTestObject(""Object Repository/checkout-step-one/input_Checkout Your Information_lastName""), ""qa test"")",Chrome 113.0.0.0,,,2023-05-15 14:00:27,2023-05-15 14:00:28,0.579s,PASSED
"sendKeys(findTestObject(""Object Repository/checkout-step-one/input_Checkout Your Information_postalCode""), ""9000"")",Chrome 113.0.0.0,,,2023-05-15 14:00:28,2023-05-15 14:00:28,0.480s,PASSED
"click(findTestObject(""Object Repository/checkout-step-one/input_continue""))",Chrome 113.0.0.0,,,2023-05-15 14:00:28,2023-05-15 14:00:29,0.494s,PASSED
"click(findTestObject(""Object Repository/finish checkout/button_Finish""))",Chrome 113.0.0.0,,,2023-05-15 14:00:29,2023-05-15 14:00:29,0.469s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/order-success/h2_Thank you for your order""))",Chrome 113.0.0.0,,,2023-05-15 14:00:29,2023-05-15 14:00:30,0.467s,PASSED
"click(findTestObject(""Object Repository/NavSideBar/sidebar""))",Chrome 113.0.0.0,,,2023-05-15 14:00:30,2023-05-15 14:00:30,0.368s,PASSED
"click(findTestObject(""Object Repository/NavSideBar/a_Logout""))",Chrome 113.0.0.0,,,2023-05-15 14:00:30,2023-05-15 14:00:30,0.501s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 113.0.0.0,,,2023-05-15 14:00:30,2023-05-15 14:00:31,0.460s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-15 14:00:31,2023-05-15 14:00:32,0.732s,PASSED
,,,,,,,
Test Cases/test-flow-1-buy-1-product,Chrome 113.0.0.0,,,2023-05-15 14:00:32,2023-05-15 14:00:43,11.677s,PASSED
"openBrowser(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-15 14:00:32,2023-05-15 14:00:34,2.152s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 113.0.0.0,,,2023-05-15 14:00:34,2023-05-15 14:00:34,0.372s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 113.0.0.0,,,2023-05-15 14:00:34,2023-05-15 14:00:34,0.354s,PASSED
